City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
242,Monrovia,LR,77.94,broken clouds,6.3005,-10.7969,Sunset Inn
244,Turan,VN,78.78,scattered clouds,16.0678,108.2208,Grand Mercure Danang
245,Bundaberg,AU,76.21,clear sky,-24.85,152.35,Takalvan Motel
246,Kavaratti,IN,81.73,clear sky,10.5669,72.642,Green leaf
249,Yenagoa,NG,75.07,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
253,Meulaboh,ID,75.2,overcast clouds,4.1363,96.1285,Kost Pria
254,Ballina,AU,70.79,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
256,Sao Joao Da Barra,BR,73.49,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
258,Sao Filipe,CV,78.93,overcast clouds,14.8961,-24.4956,Hotel Xaguate
261,Kavieng,PG,83.84,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
265,Jardim,BR,72.27,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
267,Champerico,GT,88.34,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
271,Harper,LR,78.06,few clouds,4.375,-7.7169,Screensaver
275,Sawakin,SD,82.49,clear sky,19.1059,37.3321,فندق الدويم
276,Comodoro Rivadavia,AR,76.86,clear sky,-45.8667,-67.5,Austral Hotel
280,Ipixuna,BR,77.72,broken clouds,-1.7625,-48.8043,Chalé do Mato
281,Mesetas,CO,71.17,broken clouds,3.3846,-74.0442,Hotel Doña Betty
285,Karratha,AU,72.18,clear sky,-20.7377,116.8463,ibis Styles Karratha
292,Sabang,ID,81.57,light rain,5.8933,95.3214,Hotel Citra
293,Praya,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
299,Manaure,CO,81.05,overcast clouds,11.7751,-72.4445,Hotel Palaaima
300,Utete,TZ,71.49,broken clouds,-7.986,38.758,River View Lodge
303,Moerai,PF,72.97,broken clouds,-22.4333,-151.3333,Le Manotel
308,Touros,BR,78.57,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
