City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
256,Tucson,US,2022-11-09 18:12:01,32.2217,-110.9265,73.2,30,0,13.8
257,Richards Bay,ZA,2022-11-09 18:15:45,-28.783,32.0377,72.57,88,34,11.48
258,Wurzen,DE,2022-11-09 18:15:45,51.3667,12.7333,56.16,75,100,12.5
259,George Town,MY,2022-11-09 18:11:44,5.4112,100.3354,81.9,86,20,0.0
260,Mananjary,MG,2022-11-09 18:15:46,-21.2167,48.3333,74.16,81,53,9.95
261,Burns Lake,CA,2022-11-09 18:15:47,54.2331,-125.7533,4.42,71,39,2.73
262,Hami,CN,2022-11-09 18:15:47,42.8,93.45,42.49,45,86,5.03
263,Mareeba,AU,2022-11-09 18:15:48,-17.0,145.4333,70.52,89,32,4.16
264,Susangerd,IR,2022-11-09 18:15:48,31.5608,48.1831,78.8,49,100,9.84
265,Nenjiang,CN,2022-11-09 18:15:49,49.1833,125.2167,23.31,52,1,4.0
266,Constitucion,CL,2022-11-09 18:15:49,-35.3333,-72.4167,54.63,93,100,13.38
267,Kyren,RU,2022-11-09 18:16:50,51.6828,102.1408,25.05,93,100,0.49
268,Mahebourg,MU,2022-11-09 18:16:50,-20.4081,57.7,73.69,78,40,5.75
269,Belmonte,BR,2022-11-09 18:16:51,-15.8631,-38.8828,76.46,81,100,4.79
270,Mbarara,UG,2022-11-09 18:16:51,-0.608,30.65,63.88,91,97,1.95
271,Mackay,AU,2022-11-09 18:15:52,-21.15,149.2,66.69,65,37,15.05
272,Saldanha,ZA,2022-11-09 18:16:52,-33.0117,17.9442,59.97,77,3,18.45
273,Frontera,MX,2022-11-09 18:16:52,26.9333,-101.45,80.33,56,72,1.01
274,Qaanaaq,GL,2022-11-09 18:16:52,77.484,-69.3632,-10.91,59,38,7.36
275,Hambantota,LK,2022-11-09 18:16:53,6.1241,81.1185,78.06,85,100,1.77
276,Macheng,CN,2022-11-09 18:16:53,31.1783,115.0319,64.47,59,8,3.31
277,Noumea,NC,2022-11-09 18:16:53,-22.2763,166.4572,75.99,99,87,10.89
278,Porto Murtinho,BR,2022-11-09 18:16:54,-21.6989,-57.8825,98.96,22,64,1.12
279,Skibbereen,IE,2022-11-09 18:16:55,51.55,-9.2667,56.1,91,90,21.36
280,Groton,US,2022-11-09 18:16:55,41.3501,-72.0784,54.88,51,0,6.91
